Row ID,Order Priority,Discount,Unit Price,Shipping Cost,Customer ID,Customer Name,Ship Mode,Customer Segment,Product Category,Product Sub-Category,Product Container,Product Name,Product Base Margin,Region,State or Province,Postal Code,Order Date,Ship Date,Profit,Quantity ordered new,Sales,Order ID,Location 1
"23,328",High,0.04,10.98,3.37,12,Kara Pace,Regular Air,Home Office,Office Supplies,"Scissors, Rulers and Trimmers",Small Pack,Fiskars® Softgrip Scissors,0.57,East,Rhode Island,"2,907",2/24/2012 0:00,2/26/2012 0:00,23.12,8,90.39,"90,196","Cranston, Rhode Island 2907
(41.80101177600045, -71.42421834699962)"
"26,266",High,0.08,14.27,7.27,16,Sarah Ramsey,Express Air,Small Business,Office Supplies,Binders and Binder Accessories,Small Box,"GBC Laser Imprintable Binding System Covers, Desert Sand",0.38,East,New York,"13,210",2/12/2013 0:00,2/15/2013 0:00,3.4595,3,45.6,"86,844","Syracuse, New York 13210
(43.03492381800049, -76.12811695599964)"
"18,181",Critical,0,4.42,4.99,15,Timothy Reese,Regular Air,Small Business,Office Supplies,Envelopes,Small Box,Grip Seal Envelopes,0.38,East,New York,"11,787",4/8/2010 0:00,4/9/2010 0:00,-59.82,7,33.47,"86,837","Smithtown, New York 11787
(40.85279253600049, -73.20515789199965)"
"24,847",Medium,0.05,3.28,4.2,14,Gwendolyn F Tyson,Regular Air,Small Business,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 351,0.56,Central,Minnesota,"55,372",5/12/2010 0:00,5/13/2010 0:00,-37.03,4,13.99,"86,838","Prior Lake, Minnesota 55372
(44.703749185000504, -93.4173370319997)"
"18,263",Medium,0.03,1.76,0.7,15,Timothy Reese,Regular Air,Small Business,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 310,0.56,East,New York,"11,787",12/4/2011 0:00,12/6/2011 0:00,-1.17,10,17.39,"86,840","Smithtown, New York 11787
(40.85279253600049, -73.20515789199965)"
"20,925",Medium,0.01,35.94,6.66,15,Timothy Reese,Regular Air,Small Business,Office Supplies,Envelopes,Small Box,"Tyvek ® Top-Opening Peel & Seel ® Envelopes, Gray",0.4,East,New York,"11,787",5/28/2010 0:00,5/28/2010 0:00,261.8757,10,379.53,"86,839","Smithtown, New York 11787
(40.85279253600049, -73.20515789199965)"
"26,268",High,0.05,115.99,2.5,16,Sarah Ramsey,Regular Air,Small Business,Technology,Telephones and Communication,Small Box,StarTAC 7797,0.55,East,New York,"13,210",2/12/2010 0:00,2/14/2010 0:00,652.7331,10,945.99,"86,836","Syracuse, New York 13210
(43.03492381800049, -76.12811695599964)"
"23,287",Low,0.07,4.13,6.89,15,Timothy Reese,Regular Air,Small Business,Office Supplies,Labels,Small Box,"Avery 05222 Permanent Self-Adhesive File Folder Labels for Typewriters, on Rolls, White, 250/Roll",0.39,East,New York,"11,787",1/21/2013 0:00,1/23/2013 0:00,-174.2696,9,38.18,"86,843","Smithtown, New York 11787
(40.85279253600049, -73.20515789199965)"
"19,359",Low,0.05,5.85,2.27,17,Florence Hsu Schwarz,Regular Air,Small Business,Office Supplies,Pens & Art Supplies,Wrap Bag,"Dixon My First Ticonderoga Pencil, #2",0.56,West,Montana,"59,405",4/20/2011 0:00,4/24/2011 0:00,-6.82,2,12.18,"90,033","Great Falls, Montana 59405
(47.48888902100049, -111.26255704499971)"
"24,845",Medium,0.01,6.48,7.86,14,Gwendolyn F Tyson,Regular Air,Small Business,Office Supplies,Paper,Small Box,Xerox 213,0.37,Central,Minnesota,"55,372",5/12/2013 0:00,5/13/2013 0:00,-44.54,4,29.55,"86,845","Prior Lake, Minnesota 55372
(44.703749185000504, -93.4173370319997)"
"7,711",Medium,0,30.98,17.08,21,Tony Wilkins Winters,Regular Air,Small Business,Office Supplies,Paper,Small Box,Xerox 197,0.4,East,New York,"10,012",3/7/2011 0:00,3/8/2011 0:00,-41.82,1,49.61,"55,269","New York City, New York 10012
(40.72569243400045, -73.99866886599966)"
"21,763",Critical,0.08,42.98,4.62,18,Laurie Hanna,Express Air,Small Business,Office Supplies,Appliances,Small Box,Belkin F9M820V08 8 Outlet Surge,0.56,West,Montana,"59,601",5/15/2012 0:00,5/16/2012 0:00,446.0781,15,646.49,"90,035","Helena, Montana 59601
(46.591719250000494, -112.03440816799969)"
"6,063",Not Specified,0.07,12.99,9.44,21,Tony Wilkins Winters,Regular Air,Small Business,Technology,Office Machines,Medium Box,Hewlett Packard 6S Scientific Calculator,0.39,East,New York,"10,012",5/21/2010 0:00,5/23/2010 0:00,-114.6399,71,914.29,"42,949","New York City, New York 10012
(40.72569243400045, -73.99866886599966)"
"5,890",High,0.05,26.48,6.93,21,Tony Wilkins Winters,Regular Air,Small Business,Furniture,Office Furnishings,Small Box,DAX Natural Wood-Tone Poster Frame,0.49,East,New York,"10,012",5/15/2010 0:00,5/16/2010 0:00,384.38,70,"1,876.69","41,793","New York City, New York 10012
(40.72569243400045, -73.99866886599966)"
"24,062",Not Specified,0.08,5,3.39,18,Laurie Hanna,Regular Air,Small Business,Office Supplies,Rubber Bands,Wrap Bag,Advantus Plastic Paper Clips,0.37,West,Montana,"59,601",5/21/2013 0:00,5/22/2013 0:00,-17.49,13,65.69,"90,038","Helena, Montana 59601
(46.591719250000494, -112.03440816799969)"
"20,578",Low,0.02,110.98,30,18,Laurie Hanna,Delivery Truck,Small Business,Furniture,Chairs & Chairmats,Jumbo Drum,Office Star Flex Back Scooter Chair with White Frame,0.71,West,Montana,"59,601",10/2/2013 0:00,10/4/2013 0:00,126.31,22,"2,575.93","90,039","Helena, Montana 59601
(46.591719250000494, -112.03440816799969)"
"7,082",Not Specified,0.06,64.65,35,21,Tony Wilkins Winters,Express Air,Small Business,Office Supplies,Storage & Organization,Large Box,Space Solutions Commercial Steel Shelving,0.8,East,New York,"10,012",5/31/2012 0:00,6/2/2012 0:00,-929.68,50,"3,085.41","50,533","New York City, New York 10012
(40.72569243400045, -73.99866886599966)"
"21,764",Critical,0.07,8.04,8.94,18,Laurie Hanna,Express Air,Small Business,Office Supplies,Binders and Binder Accessories,Small Box,"Fellowes Twister Kit, Gray/Clear, 3/pkg",0.4,West,Montana,"59,601",5/15/2012 0:00,5/15/2012 0:00,-117.1045,9,75.85,"90,035","Helena, Montana 59601
(46.591719250000494, -112.03440816799969)"
"20,579",Low,0.01,12.53,0.5,18,Laurie Hanna,Regular Air,Small Business,Office Supplies,Labels,Small Box,Avery 485,0.38,West,Montana,"59,601",10/2/2013 0:00,10/4/2013 0:00,152.7867,17,221.43,"90,039","Helena, Montana 59601
(46.591719250000494, -112.03440816799969)"
"3,764",Critical,0.07,8.04,8.94,21,Tony Wilkins Winters,Express Air,Small Business,Office Supplies,Binders and Binder Accessories,Small Box,"Fellowes Twister Kit, Gray/Clear, 3/pkg",0.4,East,New York,"10,012",5/15/2012 0:00,5/15/2012 0:00,-117.1045,36,303.4,"26,887","New York City, New York 10012
(40.72569243400045, -73.99866886599966)"
"1,359",Low,0.05,5.85,2.27,21,Tony Wilkins Winters,Regular Air,Small Business,Office Supplies,Pens & Art Supplies,Wrap Bag,"Dixon My First Ticonderoga Pencil, #2",0.56,East,New York,"10,012",4/20/2011 0:00,4/24/2011 0:00,-6.82,9,54.79,"9,895","New York City, New York 10012
(40.72569243400045, -73.99866886599966)"
"24,063",Not Specified,0.07,12.99,9.44,19,Jim Rodgers,Regular Air,Small Business,Technology,Office Machines,Medium Box,Hewlett Packard 6S Scientific Calculator,0.39,West,Montana,"59,801",5/21/2010 0:00,5/23/2010 0:00,-114.6399,18,231.79,"90,032","Missoula, Montana 59801
(46.855999865000456, -114.01551777099968)"
"25,711",Medium,0,30.98,17.08,20,Marion Nolan Kaplan,Regular Air,Small Business,Office Supplies,Paper,Small Box,Xerox 197,0.4,Central,Nebraska,"68,005",3/7/2013 0:00,3/8/2013 0:00,-41.82,1,49.61,"90,037","Bellevue, Nebraska 68005
(41.14986056200047, -95.91021876199966)"
"18,350",Not Specified,0.07,22.84,5.47,23,Lynn Moss,Express Air,Corporate,Office Supplies,Paper,Small Box,Xerox 1929,0.39,West,California,"92,653",9/10/2012 0:00,9/13/2012 0:00,83.24,7,165.11,"87,660","Laguna Hills, California 92653
(33.591662665000456, -117.69843567699968)"
"21,253",High,0.02,5.98,3.85,25,Virginia Hardison,Regular Air,Corporate,Technology,Computer Peripherals,Small Pack,"Imation 3.5"" IBM-Formatted Diskettes, 10/Pack",0.68,West,California,"92,530",4/18/2012 0:00,4/20/2012 0:00,-27.13,1,7.12,"87,657","Lake Elsinore, California 92530
(33.67645110100045, -117.3494795959997)"
"2,578",Low,0.02,110.98,30,21,Tony Wilkins Winters,Delivery Truck,Small Business,Furniture,Chairs & Chairmats,Jumbo Drum,Office Star Flex Back Scooter Chair with White Frame,0.71,East,New York,"10,012",10/2/2013 0:00,10/4/2013 0:00,126.31,88,"10,303.73","18,596","New York City, New York 10012
(40.72569243400045, -73.99866886599966)"
"19,250",High,0,30.98,8.74,23,Lynn Moss,Regular Air,Corporate,Office Supplies,Paper,Small Box,Xerox 1979,0.4,West,California,"92,653",11/11/2011 0:00,11/12/2011 0:00,859.2639,37,"1,245.31","87,655","Laguna Hills, California 92653
(33.591662665000456, -117.69843567699968)"
"20,309",Not Specified,0.07,205.99,2.5,24,Edna Thomas,Regular Air,Corporate,Technology,Telephones and Communication,Small Box,V70,0.59,West,California,"92,677",3/2/2012 0:00,3/4/2012 0:00,"1,489.84",13,"2,159.19","87,656","Laguna Niguel, California 92677
(33.53303116000046, -117.70030837499968)"
"21,252",Critical,0.05,155.06,7.07,25,Virginia Hardison,Regular Air,Corporate,Office Supplies,Storage & Organization,Small Box,"Dual Level, Single-Width Filing Carts",0.59,West,California,"92,530",7/2/2013 0:00,7/4/2013 0:00,"1,268.49",12,"1,838.39","87,666","Lake Elsinore, California 92530
(33.67645110100045, -117.3494795959997)"
"20,625",High,0.06,21.38,8.99,24,Edna Thomas,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Small Pack,Boston 1730 StandUp Electric Pencil Sharpener,0.59,West,California,"92,677",12/19/2012 0:00,12/20/2012 0:00,-23.415,5,105.99,"87,662","Laguna Niguel, California 92677
(33.53303116000046, -117.70030837499968)"
"2,579",Low,0.01,12.53,0.5,21,Tony Wilkins Winters,Regular Air,Small Business,Office Supplies,Labels,Small Box,Avery 485,0.38,East,New York,"10,012",10/2/2013 0:00,10/4/2013 0:00,223.38,67,872.68,"18,596","New York City, New York 10012
(40.72569243400045, -73.99866886599966)"
"18,478",Low,0.1,146.05,80.2,23,Lynn Moss,Delivery Truck,Corporate,Furniture,Tables,Jumbo Box,BPI Conference Tables,0.71,West,California,"92,653",11/18/2013 0:00,11/25/2013 0:00,353.77216,11,"1,591.71","87,669","Laguna Hills, California 92653
(33.591662665000456, -117.69843567699968)"
"20,632",High,0.02,1.68,1.57,24,Edna Thomas,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 323,0.59,West,California,"92,677",1/28/2010 0:00,1/30/2010 0:00,-5.3072,1,2.25,"87,651","Laguna Niguel, California 92677
(33.53303116000046, -117.70030837499968)"
"7,083",Not Specified,0,15.23,27.75,21,Tony Wilkins Winters,Delivery Truck,Small Business,Furniture,Tables,Jumbo Box,Anderson Hickey Conga Table Tops & Accessories,0.76,East,New York,"10,012",5/31/2012 0:00,6/1/2012 0:00,-53.784,5,122.4,"50,533","New York City, New York 10012
(40.72569243400045, -73.99866886599966)"
"21,251",Critical,0.06,25.98,5.37,25,Virginia Hardison,Regular Air,Corporate,Office Supplies,Appliances,Medium Box,3M Office Air Cleaner,0.5,West,California,"92,530",7/2/2013 0:00,7/4/2013 0:00,86.51776,7,174.54,"87,666","Lake Elsinore, California 92530
(33.67645110100045, -117.3494795959997)"
"21,196",Critical,0.07,11.7,6.96,24,Edna Thomas,Regular Air,Corporate,Office Supplies,Appliances,Medium Box,Harmony HEPA Quiet Air Purifiers,0.5,West,California,"92,677",1/13/2013 0:00,1/14/2013 0:00,-88.102,8,89.77,"87,663","Laguna Niguel, California 92677
(33.53303116000046, -117.70030837499968)"
"21,254",High,0.05,5.98,5.2,25,Virginia Hardison,Regular Air,Corporate,Office Supplies,Paper,Small Box,Xerox 1992,0.36,West,California,"92,530",4/18/2012 0:00,4/20/2012 0:00,-10.58,1,7.81,"87,657","Lake Elsinore, California 92530
(33.67645110100045, -117.3494795959997)"
"23,506",Critical,0.06,14.2,5.3,27,Guy Gallagher,Regular Air,Corporate,Furniture,Office Furnishings,Wrap Bag,Coloredge Poster Frame,0.46,West,California,"90,712",10/26/2012 0:00,10/28/2012 0:00,33.4144,11,161.11,"87,661","Lakewood, California 90712
(33.849082515000475, -118.1461798039997)"
"23,536",Low,0.06,55.48,14.3,27,Guy Gallagher,Regular Air,Corporate,Office Supplies,Paper,Small Box,Xerox 194,0.37,West,California,"90,712",7/12/2012 0:00,7/17/2012 0:00,346.7043,9,502.47,"87,659","Lakewood, California 90712
(33.849082515000475, -118.1461798039997)"
"23,612",High,0.01,17.98,8.51,32,Matthew Berman,Regular Air,Corporate,Technology,Office Machines,Medium Box,Canon P1-DHIII Palm Printing Calculator,0.4,West,Oregon,"97,526",3/27/2010 0:00,3/28/2010 0:00,-35.8788,2,40.17,"89,200","Grants Pass, Oregon 97526
(42.460883416000456, -123.34167668099968)"
"18,877",High,0.01,6.48,6.65,31,Alice Capps,Regular Air,Corporate,Office Supplies,Paper,Small Box,Xerox 1966,0.36,West,Oregon,"97,405",8/11/2012 0:00,8/13/2012 0:00,-43.3316,15,99.56,"89,206","Eugene, Oregon 97405
(44.01754246700045, -123.10169768199972)"
"21,292",High,0.09,3.69,0.5,26,Marguerite Kane,Regular Air,Corporate,Office Supplies,Labels,Small Box,Avery 52,0.38,West,California,"92,630",12/11/2013 0:00,12/12/2013 0:00,37.3704,15,54.16,"87,670","Lake Forest, California 92630
(33.641382562000445, -117.68903743099969)"
"24,987",High,0.06,2.88,0.7,28,Ronnie McNamara,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 346,0.56,West,California,"93,534",1/22/2011 0:00,1/23/2011 0:00,-2.2072,1,3.41,"87,653","Lancaster, California 93534
(34.68758167600049, -118.14936903899968)"
"23,967",Not Specified,0.04,4.14,6.6,27,Guy Gallagher,Regular Air,Corporate,Furniture,Office Furnishings,Small Box,Eldon Image Series Black Desk Accessories,0.49,West,California,"90,712",11/2/2010 0:00,11/4/2010 0:00,8.894,12,54.78,"87,652","Lakewood, California 90712
(33.849082515000475, -118.1461798039997)"
"23,509",High,0.08,34.99,7.73,32,Matthew Berman,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Small Box,Hunt Boston® Vacuum Mount KS Pencil Sharpener,0.59,West,Oregon,"97,526",2/22/2010 0:00,2/23/2010 0:00,144.69,13,424.68,"89,199","Grants Pass, Oregon 97526
(42.460883416000456, -123.34167668099968)"
"23,535",Low,0.1,35.44,19.99,27,Guy Gallagher,Regular Air,Corporate,Office Supplies,Paper,Small Box,Xerox 1880,0.38,West,California,"90,712",7/12/2012 0:00,7/14/2012 0:00,-47.01,4,142.51,"87,659","Lakewood, California 90712
(33.849082515000475, -118.1461798039997)"
"25,324",Not Specified,0.08,65.99,3.9,29,Elizabeth Walker,Regular Air,Corporate,Technology,Telephones and Communication,Small Box,StarTAC Series,0.55,West,California,"90,260",1/30/2011 0:00,2/1/2011 0:00,-120.52304,3,164.1,"87,654","Lawndale, California 90260
(33.88916084600049, -118.3522981749997)"
"21,213",Critical,0.08,8.95,2.01,32,Matthew Berman,Regular Air,Corporate,Office Supplies,Paper,Wrap Bag,"Recycled Desk Saver Line ""While You Were Out"" Book, 5 1/2"" X 4""",0.39,West,Oregon,"97,526",10/6/2011 0:00,10/8/2011 0:00,85.8636,15,133.07,"89,204","Grants Pass, Oregon 97526
(42.460883416000456, -123.34167668099968)"
"21,293",High,0.06,65.99,8.99,26,Marguerite Kane,Regular Air,Corporate,Technology,Telephones and Communication,Small Box,V 3600 Series,0.58,West,California,"92,630",12/11/2013 0:00,12/12/2013 0:00,-85.606752,3,170.67,"87,670","Lake Forest, California 92630
(33.641382562000445, -117.68903743099969)"
"25,323",Not Specified,0.08,3.08,0.99,29,Elizabeth Walker,Regular Air,Corporate,Office Supplies,Labels,Small Box,Avery 481,0.37,West,California,"90,260",1/30/2013 0:00,1/31/2013 0:00,-1.6864,1,3.85,"87,664","Lawndale, California 90260
(33.88916084600049, -118.3522981749997)"
"23,968",Not Specified,0.01,65.99,8.99,27,Guy Gallagher,Regular Air,Corporate,Technology,Telephones and Communication,Small Box,SC-3160,0.59,West,California,"90,712",11/2/2013 0:00,11/4/2013 0:00,847.943712,29,"1,730.04","87,668","Lakewood, California 90712
(33.849082515000475, -118.1461798039997)"
"24,531",Critical,0.05,70.98,30,33,Ricky Hensley,Delivery Truck,Corporate,Furniture,Chairs & Chairmats,Jumbo Drum,Novimex High-Tech Fabric Mesh Task Chair,0.78,West,Oregon,"97,030",8/16/2013 0:00,8/18/2013 0:00,-162.15032,9,640.97,"89,208","Gresham, Oregon 97030
(45.507218912000496, -122.43222792499972)"
"21,026",Low,0.07,65.99,3.99,35,Milton Bland,Regular Air,Small Business,Technology,Telephones and Communication,Small Box,StarTAC 7760,0.59,West,Oregon,"97,030",5/28/2013 0:00,6/2/2013 0:00,165.501,7,394.37,"91,257","Gresham, Oregon 97030
(45.507218912000496, -122.43222792499972)"
"18,911",Critical,0.07,28.15,8.99,39,Ian L O'Donnell,Express Air,Corporate,Office Supplies,Pens & Art Supplies,Small Pack,"Boston Electric Pencil Sharpener, Model 1818, Charcoal Black",0.57,Central,Illinois,"62,002",6/12/2013 0:00,6/15/2013 0:00,-15.464,4,113.59,"88,684","Alton, Illinois 62002
(38.91206106900046, -90.15736630499964)"
"23,654",Not Specified,0.03,4.24,5.41,33,Ricky Hensley,Regular Air,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,Storex DuraTech Recycled Plastic Frosted Binders,0.35,West,Oregon,"97,030",6/15/2010 0:00,6/17/2010 0:00,-84.4376,13,58.68,"89,201","Gresham, Oregon 97030
(45.507218912000496, -122.43222792499972)"
"25,327",Medium,0.05,4.82,5.24,33,Ricky Hensley,Regular Air,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,Wilson Jones Turn Tabs Binder Tool for Ring Binders,0.39,West,Oregon,"97,030",1/26/2012 0:00,1/27/2012 0:00,-75.12168,5,24.27,"89,205","Gresham, Oregon 97030
(45.507218912000496, -122.43222792499972)"
"20,935",Medium,0.02,1.68,1.57,39,Ian L O'Donnell,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 323,0.59,Central,Illinois,"62,002",7/3/2011 0:00,7/4/2011 0:00,-30.54,10,17.12,"88,682","Alton, Illinois 62002
(38.91206106900046, -90.15736630499964)"
"25,224",Not Specified,0.02,9.27,4.39,36,Ray Morgan,Express Air,Small Business,Office Supplies,Paper,Wrap Bag,"Wirebound Message Books, Four 2 3/4"" x 5"" Forms per Page, 600 Sets per Book",0.38,West,Oregon,"97,123",11/27/2012 0:00,11/29/2012 0:00,71.434,29,272.98,"91,256","Hillsboro, Oregon 97123
(45.499775918000466, -122.95511892199971)"
"23,753",Not Specified,0.07,8.09,7.96,42,Alexandra Fuller,Regular Air,Consumer,Furniture,Office Furnishings,Small Box,"6"" Cubicle Wall Clock, Black",0.49,West,Washington,"98,373",11/26/2013 0:00,11/29/2013 0:00,63.48448,36,291.56,"91,458","Puyallup, Washington 98373
(47.14988734700046, -122.32159973999973)"
"24,532",Critical,0.05,4.98,4.7,33,Ricky Hensley,Regular Air,Corporate,Office Supplies,Paper,Small Box,Staples Copy Paper (20Lb. and 84 Bright),0.38,West,Oregon,"97,030",8/16/2013 0:00,8/18/2013 0:00,-14.99264,9,46.63,"89,208","Gresham, Oregon 97030
(45.507218912000496, -122.43222792499972)"
"18,673",Not Specified,0.09,7.98,6.5,40,Seth Grimes,Regular Air,Corporate,Office Supplies,Storage & Organization,Medium Box,Iris Project Case,0.59,West,Washington,"98,221",3/21/2013 0:00,3/23/2013 0:00,-71.44,4,30.96,"88,683","Anacortes, Washington 98221
(48.494918559000496, -122.62769668699968)"
"20,936",Medium,0.1,7.08,2.35,39,Ian L O'Donnell,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,SANFORD Major Accent™ Highlighters,0.47,Central,Illinois,"62,002",7/3/2011 0:00,7/5/2011 0:00,23.82,14,90.8,"88,682","Alton, Illinois 62002
(38.91206106900046, -90.15736630499964)"
"25,226",Not Specified,0.1,5.78,5.67,37,Stacy Chandler,Regular Air,Small Business,Office Supplies,Paper,Small Box,Xerox 1978,0.36,West,Oregon,"97,303",11/27/2012 0:00,11/30/2012 0:00,7.67,11,62.59,"91,256","Keizer, Oregon 97303
(45.001508067000486, -123.02245781699969)"
"22,221",High,0.06,449.99,49,32,Matthew Berman,Delivery Truck,Corporate,Technology,Copiers and Fax,Jumbo Drum,Canon PC940 Copier,0.38,West,Oregon,"97,526",6/12/2013 0:00,6/14/2013 0:00,345,5,"2,157.25","89,207","Grants Pass, Oregon 97526
(42.460883416000456, -123.34167668099968)"
"20,728",Medium,0.04,12.95,4.98,49,Terri Lyons,Regular Air,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,GBC Binding covers,0.4,Central,Illinois,"60,107",8/15/2011 0:00,8/17/2011 0:00,18.88258,5,69.4,"87,712","Streamwood, Illinois 60107
(42.02190316500048, -88.17414937499967)"
